#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1004.003087182913 0.014859752421803
-5 -4 1 2 -4425.13698165784 0.07723765410092369
-5 -4 2 3 -2547.445552463891 0.0703314539867618
-5 -4 3 4 -1397.6489436131 0.05637401384712454
-5 -4 4 5 -769.828542215716 0.05884602940575101
-5 -4 5 6 -416.7509389111215 0.05157769319971483
-5 -4 6 7 -211.4478407180729 0.04217062765049415
-5 -4 7 8 -88.92884237035264 0.03477102068739455
-5 -4 8 9 -14.63368405669439 0.02512195094007212
-5 -4 9 10 30.92505879688963 0.02913772993034022
-5 -4 10 11 59.08063371827211 0.02073730315006338
-5 -4 11 12 75.77155168029026 0.02080689254282315
-5 -4 12 13 85.23398417078158 0.02055997929898073
-5 -4 13 14 89.98306362957851 0.01997241167266204
-5 -4 14 15 91.63250341820219 0.01929637391039854
-5 -4 15 16 91.23912407652995 0.01282654258084698
-5 -4 16 17 89.53149350499831 0.01211939262372613
-5 -4 17 18 86.9810724111357 0.01145180441266721
-5 -4 18 19 83.91190356818038 0.01081790134210851
-5 -4 19 20 80.54499763217581 0.01022364794962546
-5 -4 20 21 77.03222836428671 0.00967253794409996
-5 -4 21 22 73.47795927282183 0.009162134648214224
-5 -4 22 23 69.95647153193329 0.006971278112358993
-5 -4 23 24 66.50881116661878 0.006756437862462938
-5 -4 24 25 63.16905696723492 0.006542967878214605
-5 -4 25 26 59.95641468172548 0.006333029539864539
-5 -4 26 27 56.88190650889604 0.006128467447789917
-5 -4 27 28 53.9508235189511 0.00593043115401507
-5 -4 28 29 51.16445148535152 0.005739419961969283
-5 -4 29 30 48.52129710035206 0.005555510466377994
-5 -4 30 31 46.01759285302987 0.004390072010932694
-5 -4 31 32 43.64733762478014 0.00213503341508385
-5 -4 32 33 41.40900217447052 0.002050125670205684
-5 -4 33 34 39.29448943294916 0.001969286851348713
-5 -4 34 35 37.29767604023112 0.001892334430488423
-5 -4 35 36 35.41239130668151 0.001819092744679
-5 -4 36 37 33.63253670189246 0.001749387995593215
-5 -4 37 38 31.95216753796979 0.001683046624043571
-5 -4 38 39 30.36554708426982 0.001619896098517382
-5 -4 39 40 28.86718066531956 0.001559766841287738
-5 -4 40 41 27.45183531914467 0.001502494183625466
-5 -4 41 42 26.11454905097591 0.001447920069739056
-5 -4 42 43 24.85063266859184 0.001395894118529337
-5 -4 43 44 23.65566640913992 0.001346274095986893
-5 -4 44 45 22.52549293536782 0.001298926134924226
-5 -4 45 46 21.45580396053585 0.001253720252772038
-5 -4 46 47 20.44351786824249 0.001210561170935836
-5 -4 47 48 19.48448445029941 0.001169315798897561
-5 -4 48 49 18.57527250944681 0.001129847418488564
-5 -4 49 50 17.71271908789051 0.001092134107490852
-4 -3.75 0 1 -317.4920393184016 0.001473409891551386
-4 -3.75 1 2 -4014.443429626529 0.1426930752732397
-4 -3.75 2 3 -2801.090945581178 0.1065833448995971
-4 -3.75 3 4 -1711.137561692408 0.07858260501990383
-4 -3.75 4 5 -1047.418238364531 0.06029510387461579
-4 -3.75 5 6 -644.7578894675557 0.04783270314849948
-4 -3.75 6 7 -394.8418529929966 0.0389330794096624
-4 -3.75 7 8 -235.7495192180554 0.03232809549122342
-4 -3.75 8 9 -132.1794803096291 0.02727121439850877
-4 -3.75 9 10 -63.53196195314035 0.02330233783792565
-4 -3.75 10 11 -17.48337094720034 0.02012218192053235
-4 -3.75 11 12 13.60331799291407 0.01753015823336456
-4 -3.75 12 13 34.57866263280243 0.01538670663646097
-4 -3.75 13 14 48.60442681825646 0.01359214832947446
-4 -3.75 14 15 57.78817590869107 0.01207355826659358
-4 -3.75 15 16 63.5626248382564 0.01077647079608898
-4 -3.75 16 17 66.91850432240926 0.009659465541676267
-4 -3.75 17 18 68.55107797170012 0.008690537412933047
-4 -3.75 18 19 68.94659863588345 0.006968757002703069
-4 -3.75 19 20 68.48348947905646 0.007101760939440843
-4 -3.75 20 21 67.39537686619076 0.006446028415196915
-4 -3.75 21 22 65.87777201307301 0.005864449356750289
-4 -3.75 22 23 64.06836767586719 0.005346417648732406
-4 -3.75 23 24 62.06856066853015 0.004883178037095982
-4 -3.75 24 25 59.95315638441181 0.00446744686393926
-4 -3.75 25 26 57.77733138002833 0.00409312139224046
-4 -3.75 26 27 55.58167935470703 0.003755054646932642
-4 -3.75 27 28 53.39590149737623 0.003448879289587402
-4 -3.75 28 29 51.24152760362165 0.003170868598269576
-4 -3.75 29 30 49.13393729189798 0.002917825804199403
-4 -3.75 30 31 47.08387124172967 0.002686995315247416
-4 -3.75 31 32 45.09856771666998 0.00247599097475353
-4 -3.75 32 33 43.18262165201583 0.002282737693288186
-4 -3.75 33 34 41.33863689850386 0.002105423655474346
-4 -3.75 34 35 39.56772326519011 0.001942460948960973
-4 -3.75 35 36 37.86987643006735 0.001792452955090815
-4 -3.75 36 37 36.24426897601394 0.001654167188609522
-4 -3.75 37 38 34.68947368621522 0.001526512569563743
-4 -3.75 38 39 33.20363497195856 0.001408520306756682
-4 -3.75 39 40 31.78460043364026 0.001299327757748127
-4 -3.75 40 41 30.43002171360648 0.001198164727941376
-4 -3.75 41 42 29.13743157342755 0.001104341812106957
-4 -3.75 42 43 27.90430256319154 0.001017240419046081
-4 -3.75 43 44 26.72809141371835 0.0009363042153172735
-4 -3.75 44 45 25.60627231134043 0.0008610317595136054
-4 -3.75 45 46 24.53591318445495 0.0008758577949471372
-4 -3.75 46 47 23.51540402547476 0.00083127575466275
-4 -3.75 47 48 22.54181071106191 0.0007917393079255601
-4 -3.75 48 49 21.61274965948003 0.0007646261830980246
-4 -3.75 49 50 20.72599851103961 0.001650624036586127
-3.75 -3.5 0 1 195.4694615225097 0.001653561505362352
-3.75 -3.5 1 2 -4681.51956296308 0.04725691696261342
-3.75 -3.5 2 3 -3698.49542816247 0.006334037281971294
-3.75 -3.5 3 4 -2378.839229602777 0.01455335331715168
-3.75 -3.5 4 5 -1520.52866532407 0.01577424667114955
-3.75 -3.5 5 6 -979.4448998614778 0.01521325900840155
-3.75 -3.5 6 7 -633.4561054461096 0.01417839603105671
-3.75 -3.5 7 8 -407.2451124239142 0.01306662240934095
-3.75 -3.5 8 9 -256.0928363312994 0.01201062179472617
-3.75 -3.5 9 10 -153.1623963697282 0.0110455732478605
-3.75 -3.5 10 11 -82.0499460904266 0.01017951666828328
-3.75 -3.5 11 12 -32.39659610040985 0.009406164741299582
-3.75 -3.5 12 13 2.485696282203548 0.008716043599119715
-3.75 -3.5 13 14 27.02313914401532 0.008099158636936438
-3.75 -3.5 14 15 44.20903557957274 0.007546187320261744
-3.75 -3.5 15 16 56.10707087228923 0.007048860401488422
-3.75 -3.5 16 17 64.16447567137573 0.006600009636282728
-3.75 -3.5 17 18 69.41147660301419 0.006193485864586622
-3.75 -3.5 18 19 72.59111001341364 0.00582403539933094
-3.75 -3.5 19 20 74.24541461145247 0.005487172005399014
-3.75 -3.5 20 21 74.77371213443644 0.005179059202003069
-3.75 -3.5 21 22 74.47267208753277 0.004896407641917492
-3.75 -3.5 22 23 73.56427072366648 0.004636387947469804
-3.75 -3.5 23 24 72.21556985462047 0.004396557675052045
-3.75 -3.5 24 25 70.55288329848997 0.00417480052819548
-3.75 -3.5 25 26 68.67203851072122 0.003969275881818479
-3.75 -3.5 26 27 66.6458864522541 0.003778376879409392
-3.75 -3.5 27 28 64.52984926276076 0.003600695605263615
-3.75 -3.5 28 29 62.36605357553321 0.003434994056838877
